,Tournois,Player 1,Player 2,Score,Odds Player 1,Odds Player 2,Rank Player 1,Rank Player 2
6204,Indian Wells,Struff,Albot,2,1.48,2.56,,138.0
6205,Indian Wells,Marterer,Nava,2,1.71,2.08,169.0,244.0
6206,Indian Wells,Andujar,Borges,2,6.99,1.09,183.0,74.0
6207,Indian Wells,Hijikata,Meligeni,1,1.27,3.66,213.0,
6208,Indian Wells,Sandgren,Lajovic,1,2.49,1.51,185.0,58.0
6209,Indian Wells,Gojo,Collarini,2,1.10,6.57,115.0,251.0
6210,Indian Wells,Vukic,Gomez,2,1.67,2.15,113.0,219.0
6211,Indian Wells,Marcora,Kozlov,2,2.48,1.51,311.0,243.0
6212,Indian Wells,Riedi,Michelsen,2,1.57,2.34,78.0,227.0
6213,Indian Wells,Muller,Kudla,2,1.85,1.90,128.0,159.0
6214,Indian Wells,Zhang,Ymer,2,2.04,1.74,123.0,61.0
6215,Indian Wells,Zhang,Ymer,2,2.04,1.74,123.0,158.0
6216,Indian Wells,Shang,Watanuki,2,2.84,1.40,153.0,96.0
6217,Indian Wells,Tabilo,O'Connell,2,3.28,1.32,104.0,
6218,Indian Wells,Svajda,Johnson,2,1.65,2.17,224.0,176.0
6219,Indian Wells,Arnaldi,Harris,2,2.89,1.38,50.0,103.0
6220,Indian Wells,Arnaldi,Harris,2,2.89,1.38,50.0,387.0
6221,Indian Wells,Garin,Tien,2,1.10,6.67,30.0,
6222,Indian Wells,Kokkinakis,Sugita,2,1.03,10.99,48.0,267.0
6223,Indian Wells,Misolic,Sousa,2,2.20,1.64,155.0,206.0
6224,Indian Wells,Misolic,Sousa,2,2.20,1.64,155.0,230.0
6225,Puerto Vallarta challenger,Andreozzi,Damm,2,1.39,2.78,233.0,
6226,Puerto Vallarta challenger,Marchenko,Rybakov,2,1.69,2.05,273.0,293.0
6227,Puerto Vallarta challenger,Statham,Chappell,2,2.79,1.39,,385.0
6228,Indian Wells,Garin,Galan,2,1.42,2.86,30.0,
6229,Indian Wells,Wu,Munar,2,1.38,3.08,51.0,112.0
6230,Indian Wells,Daniel,Carballes,2,1.40,2.95,100.0,
6231,Indian Wells,Ruusuvuori,Lestienne,1,1.44,2.79,32.0,101.0
6232,Indian Wells,Kubler,Sonego,2,2.62,1.49,91.0,29.0
6233,Indian Wells,Cachin,Basilashvili,2,2.13,1.72,102.0,156.0
6234,Indian Wells,Nakashima,Isner,2,1.94,1.87,46.0,42.0
6235,Indian Wells,Otte,Djere,2,2.43,1.56,141.0,67.0
6236,Indian Wells,Giron,Kovacevic,2,1.67,2.21,60.0,166.0
6237,Indian Wells,Ivashka,Safiullin,2,1.98,1.84,82.0,65.0
6238,Indian Wells,Humbert,Zapata,2,1.46,2.72,40.0,
6239,Puerto Vallarta challenger,McCabe,Statham,2,1.22,3.95,,
6240,Puerto Vallarta challenger,Dougaz,Yevseyev,2,2.18,1.62,308.0,416.0
6241,Puerto Vallarta challenger,Blanch,Fratangelo,2,1.75,1.99,365.0,222.0
6242,Puerto Vallarta challenger,Elias,Mena,1,1.34,3.08,212.0,326.0
6243,Puerto Vallarta challenger,Mochizuki,Pacheco,2,1.24,3.82,248.0,
6244,Puerto Vallarta challenger,Ejupovic,Berrettini,2,1.71,2.07,392.0,28.0
6245,Puerto Vallarta challenger,Marchenko,Andreozzi,2,2.24,1.60,273.0,233.0
6246,Puerto Vallarta challenger,Shimizu,Diallo,2,2.35,1.55,263.0,151.0
